team,abbreviation,league,city,state,color1,color2,logo
Arizona Diamondbacks,ARI,MLB,Phoenix,AZ,#A71930,#E3D4AD,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/MLB/ari.png
Atlanta Braves,ATL,MLB,Atlanta,GA,#CE1141,#13274F,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/MLB/atl.png
Baltimore Orioles,BAL,MLB,Baltimore,MD,#DF4601,#000000,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/MLB/bal.png
Boston Red Sox,BOS,MLB,Boston,MA,#BD3039,#0C2340,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/MLB/bos.png
Chicago Cubs,CHC,MLB,Chicago,IL,#0E3386,#CC3433,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/MLB/chc.png
Chicago White Sox,CHW,MLB,Chicago,IL,#27251F,#C4CED4,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/MLB/chw.png
Cincinnati Reds,CIN,MLB,Cincinnati,OH,#C6011F,#000000,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/MLB/cin.png
Cleveland Indians,CLE,MLB,Cleveland,OH,#0C2340,#E31937,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/MLB/cle.png
Colorado Rockies,COL,MLB,Denver,CO,#33006F,#C4CED4,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/MLB/col.png
Detroit Tigers,DET,MLB,Detroit,MI,#0C2340,#FA4616,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/MLB/det.png
Miami Marlins,MIA,MLB,Miami,FL,#00A3E0,#EF3340,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/MLB/mia.png
Houston Astros,HOU,MLB,Houston,TX,#EB6E1F,#002D62,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/MLB/hou.png
Kansas City Royals,KC,MLB,Kansas City,MO,#004687,#BD9B60,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/MLB/kc.png
LA Angels,LAA,MLB,Los Angeles,CA,#003263,#BA0021,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/MLB/laa.png
LA Dodgers,LAD,MLB,Los Angeles,CA,#005A9C,#EF3E42,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/MLB/lad.png
Milwaukee Brewers,MIL,MLB,Milwaukee,WI,#0A2351,#B6922E,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/MLB/mil.png
Minnesota Twins,MIN,MLB,Minneapolis,MN,#002B5C,#D31145,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/MLB/min.png
NY Mets,NYM,MLB,New York,NY,#002D72,#FF5910,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/MLB/nym.png
NY Yankees,NYY,MLB,New York,NY,#003087,#E4002C,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/MLB/nyy.png
Oakland Athletics,OAK,MLB,Oakland,CA,#003831,#EFB21E,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/MLB/oak.png
Philadelphia Phillies,PHI,MLB,Philadelphia,PA,#E81828,#002D72,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/MLB/phi.png
Pittsburgh Pirates,PIT,MLB,Pittsburgh,PA,#FDB827,#27251F,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/MLB/pit.png
San Diego Padres,SD,MLB,San Diego,CA,#002D62,#A2AAAD,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/MLB/sd.png
San Francisco Giants,SF,MLB,San Francisco,CA,#FD5A1E,#27251F,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/MLB/sf.png
Seattle Mariners,SEA,MLB,Seattle,WA,#005C5C,#0C2C56,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/MLB/sea.png
St. Louis Cardinals,STL,MLB,St. Louis,MO,#C41E3A,#0C2340,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/MLB/stl.png
Tampa Bay Rays,TB,MLB,St. Petersburg,FL,#8FBCE6,#092C5C,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/MLB/tb.png
Texas Rangers,TEX,MLB,Arlington,TX,#003278,#C0111F,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/MLB/tex.png
Toronto Blue Jays,TOR,MLB,Toronto,ON,#134A8E,#E8291C,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/MLB/tor.png
Washington Nationals,WSH,MLB,Washington,DC,#AB0003,#14225A,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/MLB/wsh.png
Atlanta Hawks,ATL,NBA,Atlanta,GA,#E03A3E,#C1D32F,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NBA/atl.png
Boston Celtics,BOS,NBA,Boston,MA,#007A33,#BA9653,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NBA/bos.png
Brooklyn Nets,BKN,NBA,Brooklyn,NY,#000000,#FFFFFF,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NBA/bkn.png
Charlotte Hornets,CHA,NBA,Charlotte,NC,#1D1160,#00788C,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NBA/cha.png
Chicago Bulls,CHI,NBA,Chicago,IL,#CE1141,#000000,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NBA/chi.png
Cleveland Cavaliers,CLE,NBA,Cleveland,OH,#6F263D,#041E42,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NBA/cle.png
Dallas Mavericks,DAL,NBA,Dallas,TX,#00538C,#002B5E,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NBA/dal.png
Denver Nuggets,DEN,NBA,Denver,CO,#0E2240,#FEC524,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NBA/den.png
Detroit Pistons,DET,NBA,Detroit,MI,#C8102E,#006BB6,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NBA/det.png
Golden State Warriors,GSW,NBA,Oakland,CA,#006BB6,#FDB927,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NBA/gsw.png
Houston Rockets,HOU,NBA,Houston,TX,#CE1141,#000000,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NBA/hou.png
